CPIN,Created On,Amount,Mode of Payment,Challan Reason,Expiry Date,Deposit Date,Deposit Status
="26032700641179",="20/03/2026 12:18:31",54,E-Payment,AOP,="04/04/2026",="20/03/2026 12:29:15",PAID
="25122700189735",="15/12/2025 17:04:49",62648,E-Payment,AOP,="30/12/2025",="15/12/2025 21:21:40",PAID
="25112700218222",="15/11/2025 12:50:54",32831,E-Payment,AOP,="30/11/2025",="17/11/2025 20:40:36",PAID
="25102700132031",="14/10/2025 11:39:59",39430,E-Payment,AOP,="29/10/2025",="16/10/2025 11:30:29",PAID
="25082700277374",="18/08/2025 11:27:29",51605,E-Payment,AOP,="02/09/2025",="20/08/2025 12:24:12",PAID
="25072700442039",="17/07/2025 18:14:37",50585,E-Payment,AOP,="01/08/2025",="17/07/2025 18:38:49",PAID
="25062700241602",="17/06/2025 12:05:12",53463,E-Payment,AOP,="02/07/2025",="17/06/2025 18:30:15",PAID
="25052700228876",="15/05/2025 17:59:25",53032,E-Payment,AOP,="30/05/2025",="19/05/2025 16:24:32",PAID
="25042700645109",="19/04/2025 13:24:55",46430,E-Payment,AOP,="04/05/2025",="21/04/2025 12:56:40",PAID
="25032700592905",="20/03/2025 13:26:43",51366,E-Payment,MPQR (Self assessed),="04/04/2025",="24/03/2025 16:36:45",PAID
